Time,SessionBlockNumber,BlockTrialNumber,VRHead_Position_X,VRHead_Position_Y,VRHead_Position_Z,VRHead_Rotation_X,VRHead_Rotation_Y,VRHead_Rotation_Z,VRLeftHand_Position_X,VRLeftHand_Position_Y,VRLeftHand_Position_Z,VRLeftHand_Rotation_X,VRLeftHand_Rotation_Y,VRLeftHand_Rotation_Z,VRLeftHand_HoldingObjectType,VRRightHand_Position_X,VRRightHand_Position_Y,VRRightHand_Position_Z,VRRightHand_Rotation_X,VRRightHand_Rotation_Y,VRRightHand_Rotation_Z,VRRightHand_HoldingObjectType,
2.570522,2,2,-0.1843501,1.567503,0.03835766,39.08757,319.6678,4.432805,-0.218827,1.210067,0.2447637,343.0142,36.38908,329.8873,NoObject,-0.2105323,1.763207,0.1172388,16.5702,316.0573,308.1478,NoObject,
2.59668,2,2,-0.1874329,1.566624,0.03897183,39.28788,319.7969,4.67298,-0.2199602,1.210544,0.244873,342.8743,36.53524,330.2184,NoObject,-0.2105323,1.763207,0.1172388,16.571,316.0573,308.1481,NoObject,
2.620313,2,2,-0.1903766,1.565826,0.03964806,39.42869,319.7841,4.794869,-0.221295,1.211013,0.2450606,342.8989,36.6179,330.8727,NoObject,-0.2105323,1.763207,0.1172388,16.57178,316.0568,308.1473,NoObject,
2.6448,2,2,-0.1932869,1.564991,0.04029273,39.54855,319.6668,4.780098,-0.2226291,1.211471,0.2452992,342.8232,36.59839,331.4113,NoObject,-0.2105323,1.763207,0.1172388,16.57279,316.0574,308.1489,NoObject,
2.670695,2,2,-0.1960938,1.564212,0.04081325,39.71386,319.5076,4.690556,-0.2238464,1.211809,0.2455756,342.7636,36.44127,331.8521,NoObject,-0.2105323,1.763207,0.1172388,16.57393,316.0562,308.149,NoObject,
2.695914,2,2,-0.1989754,1.5634,0.04122068,39.88197,319.3186,4.607719,-0.2248506,1.212182,0.2458777,342.714,36.32055,332.336,NoObject,-0.2105323,1.763207,0.1172388,16.57491,316.0565,308.149,NoObject,
2.720593,2,2,-0.2013574,1.562582,0.04168187,40.07871,319.1979,4.556596,-0.2255314,1.212482,0.2460892,342.6234,36.30909,332.6486,NoObject,-0.2105323,1.763207,0.1172388,16.57402,316.0546,308.1476,NoObject,
2.745689,2,2,-0.2037539,1.561744,0.04219668,40.24545,319.1433,4.563005,-0.2259357,1.212597,0.2462587,342.6309,36.33133,332.8047,NoObject,-0.2105323,1.763207,0.1172388,16.57508,316.0543,308.1464,NoObject,
2.771676,2,2,-0.205887,1.560916,0.04247721,40.41271,319.1842,4.692499,-0.2261985,1.212744,0.2463565,342.6993,36.39241,332.9572,NoObject,-0.2105323,1.763207,0.1172388,16.57454,316.0546,308.1457,NoObject,
2.796665,2,2,-0.2077794,1.560187,0.04268768,40.58543,319.2718,4.835945,-0.2263114,1.212912,0.246359,342.7043,36.46036,333.0716,NoObject,-0.2105323,1.763207,0.1172388,16.57406,316.0549,308.1449,NoObject,
2.820399,2,2,-0.2095672,1.55951,0.04269706,40.72161,319.3135,4.972947,-0.2263869,1.21292,0.2463648,342.7491,36.50145,333.1104,NoObject,-0.2105323,1.763207,0.1172388,16.57466,316.0549,308.1443,NoObject,
2.84532,2,2,-0.2110288,1.558981,0.04278224,40.83298,319.3389,5.063216,-0.2264748,1.212991,0.2463609,342.8012,36.52938,333.1569,NoObject,-0.2105323,1.763207,0.1172388,16.5752,316.054,308.1463,NoObject,
2.872617,2,2,-0.2124867,1.558598,0.04271292,40.85717,319.3722,5.192592,-0.2265254,1.213056,0.2463411,342.8362,36.54021,333.1479,NoObject,-0.2105323,1.763207,0.1172388,16.57552,316.0532,308.1445,NoObject,
